Rossz,Szomszedos,Marc. 3--5.,Marc. 10--12.,Marc. 17--19.,Marc. 24--26.,Marc. 31. -- apr. 2.,Tavaszi szunet,apr. 21--23.,apr. 28. -- maj. 1.,Maj. 5--7.,Maj. 12--14.,Maj. 19--21.,Maj. 26--28.,Jun. 3--5.,Jun. 10--12.,Jun. 16--18.,Jun. 23--25.
5,2,,Okapi,,Beluga,Lemur,,,Monguz,,Ka,,Medve,Bebe,,,
5,2,,Okapi,,Beluga,Lemur,,,Monguz,,Ka,Medve,,,Bebe,,
5,2,,Medve,,Beluga,Lemur,,,Monguz,,Ka,Okapi,,Bebe,,,
5,2,,Bebe,,Beluga,Lemur,,,Monguz,,Ka,,Okapi,Medve,,,
5,2,,,,Beluga,Lemur,,,Monguz,,Ka,,Medve,Bebe,,Okapi,
5,2,,Medve,,Beluga,Lemur,,,Okapi,,Ka,Monguz,,Bebe,,,
5,2,,Bebe,,Beluga,Lemur,,,,,Ka,Monguz,,Medve,,Okapi,
5,2,,Bebe,,Beluga,Lemur,,,Okapi,,Ka,,Monguz,Medve,,,
5,2,,Bebe,,Beluga,Lemur,,,Okapi,,Ka,,Medve,Monguz,,,
5,2,,Bebe,,Beluga,Lemur,,,,,Ka,Medve,,Monguz,,Okapi,
5,2,,Bebe,,Beluga,Lemur,,,Okapi,,Ka,Medve,,,Monguz,,
5,2,,Bebe,,Beluga,Lemur,,,Okapi,,Ka,Medve,,,,Monguz,
5,2,,,,Beluga,Lemur,,,Okapi,,Ka,Medve,,Bebe,,Monguz,
5,2,,Okapi,,Beluga,Monguz,,,Lemur,,Ka,,Medve,Bebe,,,
5,2,,Okapi,,Beluga,Monguz,,,Lemur,,Ka,Medve,,,Bebe,,
5,2,,Medve,,Beluga,Monguz,,,Lemur,,Ka,Okapi,,Bebe,,,
5,2,,Bebe,,Beluga,Monguz,,,Lemur,,Ka,,Okapi,Medve,,,
5,2,,,,Beluga,Monguz,,,Lemur,,Ka,,Medve,Bebe,,Okapi,
5,2,,Okapi,,Beluga,,,Monguz,Lemur,,Ka,Medve,,Bebe,,,
5,2,,Bebe,,Beluga,,,Monguz,Lemur,,Ka,Okapi,,Medve,,,
5,2,,Bebe,,Beluga,,,Monguz,Lemur,,Ka,Medve,,,,Okapi,
5,2,,,,Beluga,,,Monguz,Lemur,,Ka,Medve,,Bebe,,Okapi,
5,2,,Okapi,,Beluga,Bebe,,,Lemur,,Ka,Monguz,,Medve,,,
5,2,,Okapi,,Beluga,,,,Lemur,,Ka,Monguz,Medve,,Bebe,,
5,2,,Okapi,,Beluga,,,,Lemur,,Ka,Monguz,,Medve,Bebe,,
5,2,,Bebe,,Beluga,Okapi,,,Lemur,,Ka,Monguz,,Medve,,,
5,2,,,Bebe,Beluga,,,,Lemur,,Ka,Monguz,,Medve,,Okapi,
5,2,,,,Beluga,Bebe,,,Lemur,,Ka,Monguz,,Medve,,Okapi,
5,2,,Okapi,,Beluga,,,,Lemur,,Ka,Medve,Monguz,,Bebe,,
5,2,,Okapi,,Beluga,Bebe,,,Lemur,,Ka,Medve,,Monguz,,,
