Rossz,Szomszedos,Okt. 5--7.,Okt. 19--21.,Őszi szünet,Nov. 16--18.,Nov. 23--25.,Dec. 7--9.,Dec. 21--23.,Jan. 4--6.,Jan. 11--13.,Jan. 18--20.,Jan. 25--27.
18,8,Bárány,Mongúz,,Ka,Zooey,Lemur,Kb,Okapi,Beluga,Franny,Bálna
18,8,Bárány,Mongúz,,Ka,Zooey,Okapi,Kb,Lemur,Beluga,Franny,Bálna
18,8,Bárány,Mongúz,,Lemur,Zooey,Okapi,Kb,Ka,Beluga,Franny,Bálna
18,8,Bárány,Mongúz,,Lemur,Zooey,Okapi,Kb,Beluga,Ka,Franny,Bálna
18,8,Okapi,Mongúz,Ka,Bálna,Zooey,Bárány,,Franny,Beluga,Kb,Lemur
18,8,Okapi,Mongúz,,Bálna,Zooey,Bárány,Ka,Franny,Beluga,Kb,Lemur
18,8,Okapi,Mongúz,,Bálna,Zooey,Bárány,Kb,Franny,Beluga,Ka,Lemur
18,8,Okapi,,Ka,Bálna,Zooey,Bárány,Kb,Mongúz,Beluga,Franny,Lemur
18,8,Okapi,Mongúz,Ka,Bálna,Zooey,Bárány,,Lemur,Beluga,Franny,Kb
18,8,Okapi,Mongúz,,Bálna,Zooey,Bárány,Ka,Lemur,Beluga,Franny,Kb
18,8,Okapi,,Ka,Bálna,Zooey,Bárány,Kb,Beluga,Mongúz,Lemur,Franny
18,8,Okapi,Mongúz,Ka,Bálna,Zooey,Bárány,,Lemur,Beluga,Kb,Franny
18,8,Okapi,Mongúz,,Bálna,Zooey,Bárány,Ka,Lemur,Beluga,Kb,Franny
18,8,Okapi,Mongúz,,Bálna,Zooey,Bárány,Kb,Ka,Beluga,Lemur,Franny
18,8,Okapi,Mongúz,,Bálna,Zooey,Bárány,Kb,Beluga,Ka,Lemur,Franny
18,8,Okapi,Mongúz,,Bálna,Zooey,Bárány,Kb,Lemur,Beluga,Ka,Franny
18,8,Okapi,Mongúz,,Ka,Zooey,Bárány,Kb,Bálna,Beluga,Franny,Lemur
18,8,Okapi,Mongúz,Ka,Kb,Zooey,Bárány,,Bálna,Beluga,Lemur,Franny
18,8,Okapi,Mongúz,,Kb,Zooey,Bárány,Ka,Bálna,Beluga,Lemur,Franny
18,8,Okapi,Mongúz,Ka,Lemur,Zooey,Bárány,,Beluga,Bálna,Franny,Kb
18,8,Okapi,Mongúz,,Lemur,Zooey,Bárány,Ka,Beluga,Bálna,Franny,Kb
18,8,Okapi,Mongúz,Ka,Lemur,Zooey,Bárány,,Beluga,Bálna,Kb,Franny
18,8,Okapi,Mongúz,,Ka,Zooey,Bárány,Kb,Beluga,Bálna,Lemur,Franny
18,8,Okapi,Mongúz,,Lemur,Zooey,Bárány,Ka,Beluga,Bálna,Kb,Franny
18,8,Okapi,Mongúz,,Lemur,Zooey,Bárány,Kb,Beluga,Bálna,Ka,Franny
18,8,Okapi,Mongúz,Ka,Lemur,Zooey,Bárány,,Franny,Beluga,Kb,Bálna
18,8,Okapi,Mongúz,,Ka,Zooey,Bárány,Kb,Franny,Beluga,Lemur,Bálna
18,8,Okapi,Mongúz,,Lemur,Zooey,Bárány,Ka,Franny,Beluga,Kb,Bálna
18,8,Okapi,Mongúz,,Lemur,Zooey,Bárány,Kb,Franny,Beluga,Ka,Bálna
18,8,Okapi,,Ka,Lemur,Zooey,Bárány,Kb,Mongúz,Beluga,Franny,Bálna
18,8,Okapi,Mongúz,Ka,Bálna,Zooey,Lemur,,Bárány,Beluga,Franny,Kb
18,8,Okapi,Mongúz,,Bálna,Zooey,Lemur,Ka,Bárány,Beluga,Franny,Kb
18,8,Okapi,Mongúz,Ka,Bálna,Zooey,Lemur,,Bárány,Beluga,Kb,Franny
18,8,Okapi,Mongúz,,Bálna,Zooey,Lemur,Ka,Bárány,Beluga,Kb,Franny
18,8,Okapi,Mongúz,,Bálna,Zooey,Lemur,Kb,Bárány,Beluga,Ka,Franny
18,8,Okapi,,Ka,Bálna,Zooey,Lemur,Kb,Beluga,Mongúz,Bárány,Franny
18,8,Okapi,Mongúz,,Bálna,Zooey,Lemur,Kb,Ka,Beluga,Bárány,Franny
18,8,Okapi,Mongúz,,Bálna,Zooey,Lemur,Kb,Beluga,Ka,Bárány,Franny
18,8,Okapi,,Ka,Lemur,Zooey,Bálna,Kb,Franny,Beluga,Bárány,Mongúz
18,8,Okapi,Mongúz,Ka,Kb,Zooey,Lemur,,Bálna,Beluga,Bárány,Franny
18,8,Okapi,,Ka,Lemur,Zooey,Mongúz,Kb,Bálna,Beluga,Bárány,Franny
18,8,Okapi,Mongúz,,Lemur,Zooey,Ka,Kb,Bálna,Beluga,Bárány,Franny
18,8,Okapi,Mongúz,,Kb,Zooey,Lemur,Ka,Bálna,Beluga,Bárány,Franny
18,8,Okapi,Mongúz,,Ka,Zooey,Lemur,Kb,Beluga,Bálna,Bárány,Franny
18,8,Okapi,Mongúz,,Ka,Zooey,Lemur,Kb,Franny,Beluga,Bárány,Bálna
18,8,Okapi,Mongúz,Ka,Bálna,Zooey,Kb,,Franny,Beluga,Lemur,Bárány
18,8,Okapi,Mongúz,,Bálna,Zooey,Kb,Ka,Franny,Beluga,Lemur,Bárány
